UPC,Description,Item_Max_Qty,Order_Threshold,replenishment_order_qty,Item_on_hand,Unit price,Order_placed,,
72800B, 4 PURPLE FLOCK DINNER CANDLES,7.0,3.0,6.0,2.0,2.55,Y,,
23345, DOLLY GIRL BEAKER,6.0,2.0,6.0,1.0,2.55,Y,,
23391, I LOVE LONDON MINI BACKPACK,8.0,3.0,7.0,3.0,2.55,Y,,
22900, SET 2 TEA TOWELS I LOVE LONDON ,7.0,3.0,6.0,2.0,4.96,Y,,
23007, SPACEBOY BABY GIFT SET,11.0,4.0,10.0,6.0,2.55,Y,,
21120,*Boombox Ipod Classic,17.0,6.0,15.0,12.0,0.79,Y,,
22418,10 COLOUR SPACEBOY PEN,6.0,2.0,6.0,1.0,2.46,Y,,
21448,12 DAISY PEGS IN WOOD BOX,7.0,3.0,6.0,2.0,2.46,Y,,
23442,12 HANGING EGGS HAND PAINTED,8.0,3.0,7.0,3.0,1.25,Y,,
21447,12 IVORY ROSE PEG PLACE SETTINGS,205.0,62.0,184.0,200.0,1.08,,,
22906,12 MESSAGE CARDS WITH ENVELOPES,53.0,16.0,48.0,48.0,1.25,Y,,
20982,12 PENCILS TALL TUBE SKULLS,5.0,2.0,4.0,0.0,1.25,Y,,
20981,12 PENCILS TALL TUBE WOODLAND,9.0,3.0,8.0,4.0,2.46,Y,,
84461,12 PINK HEN+CHICKS IN BASKET,8.0,3.0,7.0,3.0,2.46,Y,,
21446,12 RED ROSE PEG PLACE SETTINGS,7.0,3.0,6.0,2.0,4.15,Y,,
84465,15 PINK FLUFFY CHICKS IN BOX,9.0,3.0,8.0,4.0,4.15,Y,,
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,55.0,17.0,49.0,50.0,3.75,,,
23253,16 PIECE CUTLERY SET PANTRY DESIGN,13.0,4.0,12.0,8.0,4.15,Y,,
21458,2 PICTURE BOOK EGGS EASTER BUNNY,10.0,3.0,9.0,5.0,4.15,Y,,
21456,2 PICTURE BOOK EGGS EASTER CHICKS,6.0,2.0,6.0,1.0,8.29,Y,,
21457,2 PICTURE BOOK EGGS EASTER DUCKS,11.0,4.0,10.0,6.0,4.15,Y,,
22316,200 BENDY SKULL STRAWS,7.0,3.0,6.0,2.0,8.29,Y,,
85034A,3 GARDENIA MORRIS BOXED CANDLES,6.0,2.0,6.0,1.0,4.15,Y,,
22158,3 HEARTS HANGING DECORATION RUSTIC,7.0,3.0,6.0,2.0,29.13,Y,,
22839,3 TIER CAKE TIN GREEN AND CREAM,6.0,2.0,6.0,1.0,20.38,Y,,
72815,3 WICK CHRISTMAS BRIAR CANDLE ,6.0,2.0,6.0,1.0,9.95,Y,,
22949,36 DOILIES DOLLY GIRL,7.0,3.0,6.0,2.0,20.38,Y,,
22955,36 FOIL STAR CAKE CASES ,9.0,3.0,8.0,4.0,9.95,Y,,
21188,3D HEARTS  HONEYCOMB PAPER GARLAND,8.0,3.0,7.0,3.0,9.95,Y,,
84559B,3D SHEET OF CAT STICKERS,7.0,3.0,6.0,2.0,8.29,Y,,
22732,3D VINTAGE CHRISTMAS STICKERS ,6.0,2.0,6.0,1.0,8.29,Y,,
72800D,4 BLUE DINNER CANDLES SILVER FLOCK,6.0,2.0,6.0,1.0,19.96,Y,,
72801G,4 BURGUNDY WINE DINNER CANDLES,10.0,3.0,9.0,5.0,9.95,Y,,
35833G,4 GOLD FLOCK CHRISTMAS BALLS,8.0,3.0,7.0,3.0,8.29,Y,,
72800E,4 IVORY DINNER CANDLES SILVER FLOCK,5.0,2.0,4.0,0.0,9.95,Y,,
21616,4 PEAR BOTANICAL DINNER CANDLES,25.0,8.0,22.0,20.0,1.25,Y,,
72801D,4 SKY BLUE DINNER CANDLES,9.0,3.0,8.0,4.0,1.25,Y,,
22620,4 TRADITIONAL SPINNING TOPS,8.0,3.0,7.0,3.0,2.46,Y,,
21619,4 VANILLA BOTANICAL CANDLES,7.0,3.0,6.0,2.0,1.25,Y,,
21618,4 WILDFLOWER BOTANICAL CANDLES,6.0,2.0,6.0,1.0,1.25,Y,,
22242,5 HOOK HANGER MAGIC TOADSTOOL,7.0,3.0,6.0,2.0,2.46,Y,,
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,8.0,3.0,7.0,3.0,1.25,Y,,
90199A,5 STRAND GLASS NECKLACE BLACK,11.0,4.0,10.0,6.0,2.46,Y,,
85038,6 CHOCOLATE LOVE HEART T-LIGHTS,11.0,4.0,10.0,6.0,1.25,Y,,
23354,6 GIFT TAGS 50'S CHRISTMAS ,53.0,16.0,48.0,48.0,1.25,Y,,
22077,6 RIBBONS RUSTIC CHARM,405.0,122.0,364.0,400.0,1.04,,,
84991,60 TEATIME FAIRY CAKE CASES,10.0,3.0,9.0,5.0,2.46,Y,,
22952,72 CAKE CASES VINTAGE CHRISTMAS,18.0,6.0,16.0,13.0,1.25,Y,,
84992,72 SWEETHEART FAIRY CAKE CASES,29.0,9.0,26.0,24.0,2.95,Y,,
84989a,75 GREEN FAIRY CAKE CASES,6.0,2.0,6.0,1.0,2.95,Y,,
23697,A PRETTY THANK YOU CARD,7.0,3.0,6.0,2.0,2.95,Y,,
20764,ABSTRACT CIRCLES SKETCHBOOK ,8.0,3.0,7.0,3.0,2.95,Y,,
35819B,"ACRYLIC HANGING JEWEL;BLUE",12.0,4.0,11.0,7.0,2.95,Y,,
35818B,"ACRYLIC JEWEL ICICLE; BLUE",6.0,2.0,6.0,1.0,5.91,Y,,
35818P,"ACRYLIC JEWEL ICICLE; PINK",10.0,3.0,9.0,5.0,2.95,Y,,
35817P,"ACRYLIC JEWEL SNOWFLAKE;PINK",8.0,3.0,7.0,3.0,5.91,Y,,
23084,temp adjustment,17.0,6.0,15.0,12.0,2.1,Y,,
37327,adjustment,7.0,3.0,6.0,2.0,5.91,Y,,
23595,adjustment,15.0,5.0,13.0,10.0,2.95,Y,,
51020A,SUMMER FUN DESIGN SHOWER CAP,5.0,2.0,4.0,0.0,35.95,Y,,
22374,AIRLINE BAG VINTAGE JET SET RED,15.0,5.0,13.0,10.0,4.21,Y,,
22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,23.0,7.0,21.0,18.0,2.95,Y,,
22564,ALPHABET STENCIL CRAFT,6.0,2.0,6.0,1.0,4.13,Y,,
21868,Amazon,20.0,6.0,18.0,15.0,2.95,Y,,
90125E,AMBER BERTIE GLASS BEAD BAG CHARM,9.0,3.0,8.0,4.0,4.13,Y,,
90126C,AMBER BERTIE MOBILE PHONE CHARM,8.0,3.0,7.0,3.0,4.13,Y,,
90184A,AMBER CHUNKY BEAD BRACELET W STRAP,6.0,2.0,6.0,1.0,6.63,Y,,
90178A,AMBER CHUNKY GLASS+BEAD NECKLACE,44.0,14.0,39.0,39.0,7.95,Y,,
90185A,AMBER DIAMANTE EXPANDABLE RING,7.0,3.0,6.0,2.0,3.25,Y,,
90184B,AMETHYST CHUNKY BEAD BRACELET W STR,17.0,6.0,15.0,12.0,3.25,Y,,
16011,ANIMAL STICKERS,405.0,122.0,364.0,400.0,1.08,,,
90161C,ANT COPPER LIME BOUDICCA BRACELET,8.0,3.0,7.0,3.0,3.25,Y,,
90161D,ANT COPPER PINK BOUDICCA BRACELET,8.0,3.0,7.0,3.0,6.63,Y,,
90161A,ANT COPPER RED BOUDICCA BRACELET,105.0,32.0,94.0,100.0,2.75,,,
90161B,ANT COPPER TURQ BOUDICCA BRACELET,18.0,6.0,16.0,13.0,3.25,Y,,
90162D,ANT SILVER PURPLE BOUDICCA RING,15.0,5.0,13.0,10.0,3.25,Y,,
84884A,ANT WHITE WIRE HEART SPIRAL,13.0,4.0,12.0,8.0,3.25,Y,,
21270,ANTIQUE CREAM CUTLERY CUPBOARD,46.0,14.0,42.0,41.0,2.75,Y,,
22798,ANTIQUE GLASS DRESSING TABLE POT,11.0,4.0,10.0,6.0,14.95,Y,,
21145,ANTIQUE GLASS PLACE SETTING,7.0,3.0,6.0,2.0,24.96,Y,,
85042,ANTIQUE LILY FAIRY LIGHTS,6.0,2.0,6.0,1.0,24.96,Y,,
90001B,ANTIQUE MID BLUE FLOWER EARRINGS,23.0,7.0,21.0,18.0,14.95,Y,,
90001C,ANTIQUE OPAL WHITE FLOWER EARRINGS,9.0,3.0,8.0,4.0,16.95,Y,,
22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,5.0,2.0,4.0,0.0,16.95,Y,,
20963,APPLE BATH SPONGE,10.0,3.0,9.0,5.0,16.95,Y,,
22915,sold as set on dotcom,41.0,13.0,37.0,36.0,9.98,Y,,
84879,ASSORTED COLOUR BIRD ORNAMENT,10.0,3.0,9.0,5.0,14.95,Y,,
21830,ASSORTED CREEPY CRAWLIES,7.0,3.0,6.0,2.0,8.95,Y,,
22856,ASSORTED EASTER DECORATIONS  BELLS,6.0,2.0,6.0,1.0,4.95,Y,,
17096,ASSORTED LAQUERED INCENSE HOLDERS,7.0,3.0,6.0,2.0,14.95,Y,,
21637,ASSORTED SANSKRIT MINI NOTEBOOK,11.0,4.0,10.0,6.0,4.95,Y,,
21644,ASSORTED TUTTI FRUTTI HEART BOX,6.0,2.0,6.0,1.0,10.79,Y,,
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,53.0,16.0,48.0,48.0,4.15,Y,,
11001,ASSTD DESIGN RACING CAR PEN,6.0,2.0,6.0,1.0,0.79,Y,,
84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,29.0,9.0,26.0,24.0,4.15,Y,,
85049F,BABY BOOM RIBBONS ,5.0,2.0,4.0,0.0,4.95,Y,,
22937,BAKING MOULD CHOCOLATE CUPCAKES,6.0,2.0,6.0,1.0,8.47,Y,,
21756,BATH BUILDING BLOCK WORD,147.0,45.0,132.0,142.0,0.0,,,
85131B,BEADED CRYSTAL HEART GREEN ON STICK,106.0,32.0,96.0,101.0,0.0,,,
22843,BISCUIT TIN VINTAGE GREEN,4005.0,1202.0,3604.0,4000.0,0.0,,,
85225,BLING KEY RING STAND,29.0,9.0,26.0,24.0,0.85,Y,,
21117,BLOND DOLL DOORSTOP,122.0,37.0,110.0,117.0,0.0,,,
84563B,BLUE & WHITE BREAKFAST TRAY,101.0,31.0,91.0,96.0,0.85,,,
85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,7.0,3.0,6.0,2.0,0.85,Y,,
84805B,BLUE CLIMBING HYDRANGA ART FLOWER,17.0,6.0,15.0,12.0,0.85,Y,,
21403,BLUE EGG  SPOON,5.0,2.0,4.0,0.0,0.85,Y,,
84620,BLUE GINGHAM ROSE CUSHION COVER,7.0,3.0,6.0,2.0,1.66,Y,,
84745B,BLUE HANGING GINGHAM EASTER HEN,7.0,3.0,6.0,2.0,2.51,Y,,
21914,BLUE HARMONICA IN BOX ,6.0,2.0,6.0,1.0,0.85,Y,,
84876D,BLUE HEART COMPACT MIRROR,6.0,2.0,6.0,1.0,1.63,Y,,
90128B,BLUE LEAVES AND BEADS PHONE CHARM,5.0,2.0,4.0,0.0,0.85,Y,,
40005B,BLUE ORGANDY ROUND LAMPSHADE W BEA,9.0,3.0,8.0,4.0,1.63,Y,,
20703,BLUE PADDED SOFT MOBILE,9.0,3.0,8.0,4.0,19.96,Y,,
20761,BLUE PAISLEY SKETCHBOOK,13.0,4.0,12.0,8.0,2.95,Y,,
15044B,BLUE PAPER PARASOL ,15.0,5.0,13.0,10.0,0.85,Y,,
20854,BLUE PATCH PURSE PINK HEART,11.0,4.0,10.0,6.0,3.25,Y,,
21399,BLUE POLKADOT COFFEE MUG,7.0,3.0,6.0,2.0,1.63,Y,,
21240,BLUE POLKADOT CUP,10.0,3.0,9.0,5.0,0.85,Y,,
21397,BLUE POLKADOT EGG CUP ,77.0,24.0,69.0,72.0,0.85,,,
20652,BLUE POLKADOT LUGGAGE TAG ,11.0,4.0,10.0,6.0,12.5,Y,,
21244,BLUE POLKADOT PLATE ,33.0,10.0,30.0,28.0,1.63,Y,,
23317,BLUE REFECTORY CLOCK ,149.0,45.0,134.0,144.0,0.72,,,
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,10.0,3.0,9.0,5.0,3.25,Y,,
84796B,BLUE SAVANNAH PICNIC HAMPER FOR 2,7.0,3.0,6.0,2.0,2.46,Y,,
84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,293.0,88.0,264.0,288.0,0.72,,,
85136B,BLUE SHARK HELICOPTER,8.0,3.0,7.0,3.0,0.85,Y,,
21670,BLUE SPOT CERAMIC DRAWER KNOB,15.0,5.0,13.0,10.0,0.65,Y,,
21669,BLUE STRIPE CERAMIC DRAWER KNOB,25.0,8.0,22.0,20.0,0.65,Y,,
84313B,BLUE TV TRAY TABLE ,6.0,2.0,6.0,1.0,1.28,Y,,
37491B,BLUE/YELLOW CERAMIC CANDLE HOLDER,6.0,2.0,6.0,1.0,0.65,Y,,
37489B,BLUE/YELLOW FLOWER DESIGN BIG MUG,14.0,5.0,12.0,9.0,0.65,Y,,
21520,BOOZE & WOMEN GREETING CARD ,65.0,20.0,58.0,60.0,0.65,,,
22038,BOTANICAL LAVENDER GIFT WRAP ,6.0,2.0,6.0,1.0,1.25,Y,,
84692,BOX OF 24 COCKTAIL PARASOLS,7.0,3.0,6.0,2.0,1.25,Y,,
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,10.0,3.0,9.0,5.0,0.65,Y,,
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,8.0,3.0,7.0,3.0,1.25,Y,,
20886,BOX OF 9 PEBBLE CANDLES,23.0,7.0,21.0,18.0,3.25,Y,,
22849,BREAD BIN DINER STYLE MINT,9.0,3.0,8.0,4.0,1.65,Y,,
22847,"BREAD BIN: DINER STYLE: IVORY",8.0,3.0,7.0,3.0,3.36,Y,,
22788,BROCANTE COAT RACK,17.0,6.0,15.0,12.0,1.65,Y,,
21320,broken,11.0,4.0,10.0,6.0,1.65,Y,,
22069,BROWN  PIRATE TREASURE CHEST ,6.0,2.0,6.0,1.0,3.29,Y,,
90030C,BROWN KUKUI COCONUT SEED NECKLACE,29.0,9.0,26.0,24.0,1.65,Y,,
23191,BUNDLE OF 3 RETRO NOTE BOOKS,7.0,3.0,6.0,2.0,12.75,Y,,
23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,6.0,2.0,6.0,1.0,12.75,Y,,
22229,BUNNY WOODEN PAINTED WITH FLOWER ,6.0,2.0,6.0,1.0,24.96,Y,,
22182,CAKE STAND VICTORIAN FILIGREE SMALL,8.0,3.0,7.0,3.0,12.75,Y,,
22215,CAKE STAND WHITE TWO TIER LACE,10.0,3.0,9.0,5.0,2.08,Y,,
23343,came coded as 20713,13.0,4.0,12.0,8.0,2.08,Y,,
85093,CANDY SPOT EGG WARMER HARE,6.0,2.0,6.0,1.0,2.51,Y,,
44228,CANNABIS LEAF BEAD CURTAIN,9.0,3.0,8.0,4.0,1.25,Y,,
22715,CARD WEDDING DAY,17.0,6.0,15.0,12.0,1.25,Y,,
47594A,CAROUSEL DESIGN WASHBAG,8.0,3.0,7.0,3.0,1.25,Y,,
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,16.0,5.0,15.0,11.0,2.51,Y,,
23205,CHARLOTTE BAG ALPHABET  DESIGN,8.0,3.0,7.0,3.0,2.46,Y,,
22356,CHARLOTTE BAG PINK POLKADOT,10.0,3.0,9.0,5.0,2.46,Y,,
84279P,CHERRY BLOSSOM  DECORATIVE FLASK,8.0,3.0,7.0,3.0,1.65,Y,,
84723,CHERRY BLOSSOM CANVAS ART PICTURE,19.0,6.0,17.0,14.0,1.65,Y,,
23225,CHERUB HEART DECORATION SILVER ,5.0,2.0,4.0,0.0,1.65,Y,,
22898,CHILDRENS APRON APPLES DESIGN,7.0,3.0,6.0,2.0,3.29,Y,,
22367,CHILDRENS APRON SPACEBOY DESIGN,20.0,6.0,18.0,15.0,3.29,Y,,
22973,CHILDREN'S CIRCUS PARADE MUG,9.0,3.0,8.0,4.0,3.29,Y,,
22972,CHILDREN'S SPACEBOY MUG,25.0,8.0,22.0,20.0,1.65,Y,,
22636,CHILDS BREAKFAST SET CIRCUS PARADE,13.0,4.0,12.0,8.0,1.65,Y,,
22516,CHILDS GARDEN RAKE BLUE,7.0,3.0,6.0,2.0,0.65,Y,,
40016,CHINESE DRAGON PAPER LANTERNS,20.0,6.0,18.0,15.0,1.28,Y,,
22145,CHRISTMAS CRAFT HEART STOCKING ,29.0,9.0,26.0,24.0,0.65,Y,,
22144,CHRISTMAS CRAFT LITTLE FRIENDS,7.0,3.0,6.0,2.0,1.28,Y,,
22141,CHRISTMAS CRAFT TREE TOP ANGEL,6.0,2.0,6.0,1.0,0.65,Y,,
22142,CHRISTMAS CRAFT WHITE FAIRY ,11.0,4.0,10.0,6.0,0.65,Y,,
72818,CHRISTMAS DECOUPAGE CANDLE,9.0,3.0,8.0,4.0,0.65,Y,,
22594,CHRISTMAS GINGHAM TREE,8.0,3.0,7.0,3.0,1.28,Y,,
21811,HANGING HEART WITH BELL,6.0,2.0,6.0,1.0,1.25,Y,,
23058,CHRISTMAS HANGING SNOWFLAKE,8.0,3.0,7.0,3.0,0.65,Y,,
21809,CHRISTMAS HANGING TREE WITH BELL,17.0,6.0,15.0,12.0,0.65,Y,,
22602,CHRISTMAS RETROSPOT HEART WOOD,12.0,4.0,11.0,7.0,1.25,Y,,
22603,CHRISTMAS RETROSPOT TREE WOOD,21.0,7.0,19.0,16.0,0.65,Y,,
21801,CHRISTMAS TREE DECORATION WITH BELL,149.0,45.0,134.0,144.0,0.65,,,
21802,CHRISTMAS TREE HEART DECORATION,65.0,20.0,58.0,60.0,0.55,,,
21816,CHRISTMAS TREE T-LIGHT HOLDER,17.0,6.0,15.0,12.0,1.25,Y,,
20771,CHRYSANTHEMUM  JOURNAL,9.0,3.0,8.0,4.0,5.91,Y,,
20777,CHRYSANTHEMUM NOTEBOOK,7.0,3.0,6.0,2.0,4.21,Y,,
90056,CHUNKY CRACKED GLAZE NECKLACE IVORY,18.0,6.0,16.0,13.0,0.65,Y,,
90147,CHUNKY SILVER NECKLACE PASTEL FLOWE,9.0,3.0,8.0,4.0,1.25,Y,,
23064,CINDERELLA CHANDELIER ,26.0,8.0,24.0,21.0,0.65,Y,,
23010,CIRCUS PARADE BABY GIFT SET,11.0,4.0,10.0,6.0,1.25,Y,,
22631,CIRCUS PARADE LUNCH BOX ,77.0,24.0,69.0,72.0,0.65,,,
23168,CLASSIC CAFE SUGAR DISPENSER,29.0,9.0,26.0,24.0,0.65,Y,,
21793,CLASSIC FRENCH STYLE BASKET BROWN,6.0,2.0,6.0,1.0,0.65,Y,,
21792,CLASSIC FRENCH STYLE BASKET GREEN ,23.0,7.0,21.0,18.0,0.65,Y,,
23169,CLASSIC GLASS COOKIE JAR,10.0,3.0,9.0,5.0,1.28,Y,,
84678,CLASSICAL ROSE SMALL VASE,9.0,3.0,8.0,4.0,0.65,Y,,
84679,CLASSICAL ROSE TABLE LAMP,149.0,45.0,134.0,144.0,0.65,,,
84952A,CLEAR LOVE BIRD T-LIGHT HOLDER,53.0,16.0,48.0,48.0,0.65,Y,,
72134,COLUMBIAN  CUBE CANDLE ,8.0,3.0,7.0,3.0,1.28,Y,,
72133,COLUMBIAN CANDLE RECTANGLE,14.0,5.0,12.0,9.0,1.28,Y,,
72128,COLUMBIAN CANDLE ROUND,8.0,3.0,7.0,3.0,0.65,Y,,
72130,COLUMBIAN CANDLE ROUND,17.0,6.0,15.0,12.0,0.65,Y,,
72127,COLUMBIAN CANDLE ROUND ,30.0,9.0,27.0,25.0,0.65,Y,,
90043,COPPER AND BRASS BAG CHARM,7.0,3.0,6.0,2.0,1.25,Y,,
21739,COSY SLIPPER SHOES SMALL GREEN,8.0,3.0,7.0,3.0,1.25,Y,,
22990,COTTON APRON PANTRY DESIGN,21.0,7.0,19.0,16.0,1.25,Y,,
20707,CRAZY DAISY HEART DECORATION,17.0,6.0,15.0,12.0,1.25,Y,,
22189,CREAM HEART CARD HOLDER,13.0,4.0,12.0,8.0,0.65,Y,,
85063,CREAM SWEETHEART MAGAZINE RACK,12.0,4.0,11.0,7.0,0.65,Y,,
85066,CREAM SWEETHEART MINI CHEST,11.0,4.0,10.0,6.0,1.25,Y,,
85065,CREAM SWEETHEART TRAYS,18.0,6.0,16.0,13.0,0.65,Y,,
22822,CREAM WALL PLANTER HEART SHAPED,5.0,2.0,4.0,0.0,0.65,Y,,
84548,CROCHET BEAR RED/BLUE  KEYRING,16.0,5.0,15.0,11.0,0.65,Y,,
84593,CROCHET ROSE DES CLOTHES HANGER,15.0,5.0,13.0,10.0,1.25,Y,,
84549,CROCHET WHITE RABBIT KEYRING ,19.0,6.0,17.0,14.0,1.25,Y,,
CRUK,CRUK Commission,10.0,3.0,9.0,5.0,1.25,Y,,
90083,CRYSTAL CZECH CROSS PHONE CHARM,149.0,45.0,134.0,144.0,0.55,,,
90085,CRYSTAL STILETTO PHONE CHARM,8.0,3.0,7.0,3.0,0.65,Y,,
90058A,CRYSTAL STUD EARRINGS CLEAR DISPLAY,17.0,6.0,15.0,12.0,1.28,Y,,
37479P,CUBIC MUG FLOCK PINK ON BROWN,11.0,4.0,10.0,6.0,0.65,Y,,
22762,CUPBOARD 3 DRAWER MA CAMPAGNE,6.0,2.0,6.0,1.0,0.65,Y,,
22938,CUPCAKE LACE PAPER SET 6,6.0,2.0,6.0,1.0,1.28,Y,,
72819,CUPID DESIGN SCENTED CANDLES,53.0,16.0,48.0,48.0,0.65,Y,,
72821,CUPID SCENTED CANDLE IN GLASS,9.0,3.0,8.0,4.0,1.28,Y,,
23410,CURIO CABINET LINEN AND LACE ,7.0,3.0,6.0,2.0,0.65,Y,,
85031C,CURIOUS IMAGES SCRAP BOOK SET,13.0,4.0,12.0,8.0,0.65,Y,,
84732B,CUTE BIRD CEATURE SCREEN,17.0,6.0,15.0,12.0,0.65,Y,,
84422,Dagamed,9.0,3.0,8.0,4.0,0.65,Y,,
21204,DAISIES  HONEYCOMB GARLAND ,8.0,3.0,7.0,3.0,1.63,Y,,
22479,DAISY GARDEN MARKER,10.0,3.0,9.0,5.0,0.65,Y,,
20769,DAISY JOURNAL ,17.0,6.0,15.0,12.0,2.95,Y,,
84823,DANISH ROSE FOLDING CHAIR,485.0,146.0,436.0,480.0,0.55,,,
84820,DANISH ROSE TRINKET TRAYS,21.0,7.0,19.0,16.0,0.55,Y,,
22285,"DECORATION HEN ON NEST: HANGING",389.0,117.0,350.0,384.0,0.55,,,
22249,DECORATION WHITE CHICK MAGIC GARDEN,21.0,7.0,19.0,16.0,0.65,Y,,
20856,DENIM PATCH PURSE PINK BUTTERFLY,29.0,9.0,26.0,24.0,3.25,Y,,
